id_news,event,category,address,latitud,longitud
53.421.181,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.878.712,guitarristas ofrecerán,entretenimiento,"Sala SCD Plaza Egaña, La Reina, Chile",,
53.412.225,Gobierno suspendió,educacion,"Gobierno, Algarrobo, Chile",,
53.558.369,delegado refirió,economia,"Teatro Caupolicán, Chile",-33.4562166,-70.64923855
53.877.607,adolescentes arrestados,ciencia,"Pichicautín, Chile",-38.7455569,-72.5985394
53.560.642,lluvias esperan,tecnologia,"Atacama, Los Lagos, Chile",-40.5658867,-73.1611137
53.561.872,incendio destruyó,accidentes,"Conchalí, Chile",-33.38432335,-70.67473821073702
53.412.031,grupo presentaron,economia,"Renovación Nacional, Chile",-41.47029835,-72.9391994
53.598.423,ministro abordó,tecnologia,"Segpres, Talca, Chile",,
53.409.706,que apoyará,economia,"Conadi, Venezuela",,
53.561.077,una comunicó,economia,"Eurocentro, Santiago, Chile",-33.442100100000005,-70.65030385455051
53.555.547,piloto retomó,entretenimiento,"Europa, Chile",-34.1582586,-70.7083488
53.627.438,Claudio anunció,deportes,"Betis, España",36.0907717,-5.7176194
53.557.534,ministra reiteró,ciencia,"Interior, Chile",-32.4329388,-71.2089735
53.425.077,deportista tuvo,entretenimiento,", Corea del Sur",36.638392,127.6961188
53.709.633,cantante aseguró,entretenimiento,"“, Chile",-31.7613365,-71.3187697
53.620.188,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.567.774,que azotó,medio_ambiente,"Cientos, Santiago, Chile",,
53.554.241,establecimientos participaron,educacion,"Puerto Cordillera, Andacollo, Italia",,
53.421.701,cantante tenía,entretenimiento,"Viena, Austria",48.2083537,16.3725042
53.410.525,capitán agradeció,deportes,"capitán granate agradeció, Chile",,
53.877.078,Museo invita,tecnologia,"Museo de Bomberos de Santiago, Chile",-33.4362529,-70.6509728
53.554.036,ÚNETE,salud,"Centro, Chile",-35.3319608,-72.4118128
53.878.656,llegar,entretenimiento,"Los Vikings, Talcahuano, Chile",,
53.420.979,panel dijo,medio_ambiente,"votación, Venezuela",10.1376441,-68.0539128
53.011.395,instalar,ciencia,"Clínica Las Condes, La Reina, Chile",,
53.691.662,proyecto dio,economia,"Concepción, Santiago, Chile",-33.6095976,-70.8710339
53.413.493,ministro confirmó,economia,"Constitución del Senado, Santiago, Chile",,
53.558.944,resultados conocieron,economia,"ESI, Antofagasta, Chile",,
53.562.768,trabajadores firmado,tecnologia,"Estados Unidos, Israel",39.3181528,-79.8109014
53.415.479,Sigue,entretenimiento,", Venezuela",8.0018709,-66.1109318
53.417.619,que permite,economia,"Después, Chile",-38.7609259,-72.6494714
53.557.061,audiencia desarrolló,entretenimiento,"Región Metropolitana, Puente Alto, Chile",-33.5916763,-70.5692202
53.562.478,reafirmar,tecnologia,"Buenos Aires, Argentina",-34.609023,-58.3812732
53.017.189,Administración decretó,economia,"Administración Nacional Oceánica, Indonesia",,
53.415.021,Presidente refirió,economia,"Gobierno de Chile, Venezuela",,
53.554.063,Temporada vive,entretenimiento,"Peacock Theatre, Chile",,
53.554.672,.tablaennoticia,economia,"font-size:12px, Chile",,
53.554.646,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.582.539,apoyar,tecnologia,"Plan Municipal de Cultura, Castro, Chile",,
53.522.080,elenco impuso,entretenimiento,"Manchester City, Chile",,
53.558.241,Fiscalía señaló,entretenimiento,"Hermosilla, Chile",-33.5240242,-70.678891
53.557.606,país presenta,salud,"Guyana, Lesoto",,
53.559.505,concejal solicitara,economia,"Contraloría, La Florida, Chile",-33.5424271,-70.57727925
53.412.648,hito materializó,entretenimiento,"Coeymans, Perú",,
53.555.168,una comunicó,economia,"Eurocentro, Santiago, Chile",-33.442100100000005,-70.65030385455051
53.423.718,pasado,economia,"Zulia, Chile",10.18656,-71.3030718
53.788.668,que cuenta,economia,"Parque Urbano Ex Línea Férrea, Ancud, Chile",,
53.563.117,misión realizó,tecnologia,"la Luna, Chile",-41.4132131,-72.1126846
53.579.007,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.562.247,sorprendió,tecnologia,"Tribunal Supremo de Justicia de Venezuela, Venezuela",,
53.412.914,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.879.244,astronautas regresarán,entretenimiento,"SpaceX., Florida, Chile",,
53.409.231,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.708.135,mensajes revelaron,salud,"Yáber, Chile",,
53.882.736,Cuarto ordenó,salud,"Cuarto Juzgado de Garantía de Santiago, Santiago, Chile",,
53.523.020,selección confirmó,deportes,"Estadio Municipal de El Alto, Bolivia",-16.47262295,-68.20144540686165
53.554.270,defensa sostiene,entretenimiento,"Villalobos, Chile",-31.6268634,-71.1638905
53.559.281,que formalizada,economia,"OS-7, Chile",43.3525298,-8.4050237
53.555.615,conmemora,salud,"Valparaíso, Casablanca, Chile",-33.209495,-71.4799733
53.603.259,problemas tomado,economia,"Redes Asistenciales, Chile",,
53.411.194,Sala aprobó,economia,"Sala del Senado, Chile",,
53.561.263,sismo registró,salud,"Tarapacá, Chile",-20.1636672,-69.5463448
53.621.190,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.557.747,ministro aseguró,economia,"Suprema, Chile",-33.4390491,-70.6531176
53.879.003,Diputados critican,economia,"“, Santiago, Chile",-33.4377756,-70.6504502
53.416.536,ministra refirió,entretenimiento,"Interior, Santiago, Chile",-33.4423612,-70.6535623
53.424.363,vocera confirmó,entretenimiento,"Gobierno, Chile",-33.4424228,-70.6542697
53.421.259,Paredes Esteban,deportes,"Superclásico, Chile",,
53.880.123,Brigada confirmó,entretenimiento,"Brigada de Homicidios, Chile",-53.1655787,-70.9067933
53.877.352,Uber presentó,tecnologia,"Configuración, Chile",,
53.582.101,audiencia realice,salud,"La Tercera, Santiago, Chile",-33.5690296,-70.7888544
53.567.368,robo reportado,ciencia,"Maipú, Chile",-33.5094409,-70.756182
53.620.125,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.619.370,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.879.253,petrolera planea,economia,"Pozos, Reino Unido",,
53.583.263,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.877.285,candidatos expresaron,tecnologia,"Bío Bío, Chile",-37.3391407,-72.4106825
53.420.939,pasado,entretenimiento,"Tribunal Oral Federal Número 6, Recoleta, Argentina",,
53.419.634,que sufrir,entretenimiento,"Enel, Cerro Navia, Chile",,
53.522.056,Sifup emplazado,deportes,"Colo Colo, Chile",-33.4998385,-71.0048533
53.423.161,vemos,economia,"Mega, Las Condes, Chile",,
53.554.058,Serena celebró,tecnologia,"INACAP Sede, La Serena, Chile",,
53.558.315,Junta realizó,tecnologia,"Junaeb, Osorno, Chile",,
53.422.943,Rosario influencer,entretenimiento,"Hospital San Borja, Chile",-33.461166899999995,-70.64150497547294
53.788.107,Cámara dio,tecnologia,"Reglamento General de Protección de Datos de la Unión Europea, Chile",,
53.427.503,equipos disputarán,deportes,"Colo Colo, Venezuela",39.6861091,-104.8078267
53.415.574,candidaturas rechazadas,politica,"La ley, Chile",-33.6215965,-70.6255444
53.522.063,trata,economia,"La Ley, Chile",-33.6215965,-70.6255444
53.877.887,hombre quedó,ciencia,"Región de Los Ríos, Valdivia, Chile",-39.8195915,-73.2439104
53.561.147,lluvias volverán,salud,"Foto, Los Lagos, Chile",,
53.651.975,magistrado refirió,tecnologia,"Tribunal Oral de Temuco, San Antonio, Chile",,
53.651.357,magistrado refirió,tecnologia,"Tribunal Oral de Temuco, San Antonio, Chile",,
53.408.295,producción cautivado,entretenimiento,"Del Barrio Producciones, Argentina",,
53.421.497,exprimera,ciencia,"Fernández, Argentina",-27.9254044,-63.8942988
53.554.050,Doctor denunció,salud,"Negligencia, San Felipe, Chile",,
53.581.425,Pérdidas dejó,accidentes,", Castro, Chile",-42.482375,-73.7642918
53.557.016,tendrá,tecnologia,"Mercurio, Chile",-36.5349515,-72.0867892
53.562.761,conversamos,economia,"Minería, Chile",-30.2545309,-71.4989244
53.409.324,movimiento lidera-do,medio_ambiente,"Valle del Elqui, Chile",-30.0411614,-70.7152239
